LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
199,naq,Nama,"Nama, Khoekhoe","Nama, Nama, Khoekhoe",NA,NA,NA,Khoekhoe,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",18,-25.5,S Africa,Africa
148,knw,!Kung,"!Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka","!Kung, !Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka",NA,NA,NA,NA,Ju,Northern Khoisan,"Ju, Northern Khoisan",18,-19.67,S Africa,Africa
94,hts,Hadza,Hadza,"Hadza, Hadza",NA,NA,NA,NA,Hadza,NA,Hadza,35.17,-3.75,S Africa,Africa
347,sad,Sandawe,Sandawe,"Sandawe, Sandawe",NA,NA,NA,NA,Sandawe,NA,Sandawe,35,-5,S Africa,Africa
151,kwz,Kwadi,"Kwadi, Cuepe, Curoca","Kwadi, Kwadi, Cuepe, Curoca",NA,NA,NA,Kwadi,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",12,-16,S Africa,Africa
323,ras,Orig,"Tegali,Orig, Rashad (Kom, Ngakom, Kome)","Orig, Tegali,Orig, Rashad (Kom, Ngakom, Kome)",NA,NA,NA,NA,Kordofanian,NA,Kordofanian,31,13,African Savannah,Africa
75,ewe,Ewe,Ewe,"Ewe, Ewe",NA,NA,NA,Gbe,Kwa,NA,Kwa,0.42,6.33,African Savannah,Africa
172,mnk,Mandinka,Mandinka,"Mandinka, Mandinka",NA,NA,NA,West Mande,Mande,NA,Mande,-15.67,15,African Savannah,Africa
80,fub,Fula,Fula,"Fula, Fula",NA,NA,NA,NA,North Atlantic,NA,North Atlantic,-9,13,African Savannah,Africa
305,ijc,Ijo,"Ijo, Izon","Ijo, Ijo, Izon",NA,NA,NA,NA,Ijoid,NA,Ijoid,5.4,4.55,African Savannah,Africa
85,gbp,Gbeya,"Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa","Gbeya, Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",NA,NA,NA,NA,Adamawa-Ubangi,NA,Adamawa-Ubangi,15,5,African Savannah,Africa
165,lug,Luganda,Luganda,"Luganda, Luganda",NA,NA,Bantu (narrow),Bantoid,Benue-Congo,NA,Benue-Congo,32.17,0.5,S Africa,Africa
123,"kau, knc",Kanuri,Kanuri,"Kanuri, Kanuri",NA,NA,NA,NA,Saharan,NA,Saharan,13,12,African Savannah,Africa
81,fvr,Fur,"Fur , For","Fur, Fur , For",NA,NA,NA,NA,Fur,NA,Fur,25,13.5,African Savannah,Africa
111,ikx,Ik,Ik,"Ik, Ik",NA,NA,NA,NA,Kuliak,NA,Kuliak,34.17,3.75,S Africa,Africa
207,nrb,Nera,"Nara , Nera","Nera, Nara , Nera",NA,NA,NA,NA,Nera,NA,Nera,37.58,15.08,Greater Abyssinia,Africa
69,kzh,Nubian,"Nubian, Dongolese","Nubian, Nubian, Dongolese",NA,NA,NA,NA,Nubian,NA,Nubian,30.5,19,N Africa,Africa
159,laj,Lango,Lango,"Lango, Lango",NA,Southern Lwo,Lwo,Western Nilotic,Nilotic,NA,Nilotic,33,2.17,S Africa,Africa
167,mas,Maa,"Maa, Maasai","Maa, Maa, Maasai",NA,NA,Lotuko-Maa,Eastern Nilotic,Nilotic,NA,Nilotic,36,-3,S Africa,Africa
299,niq,Nandi,"Nandi, Naandi, Cemual","Nandi, Nandi, Naandi, Cemual",NA,NA,NA,Southern Nilotic,Nilotic,NA,Nilotic,35,1,S Africa,Africa
91,guk,Gumuz,Gumuz,"Gumuz, Gumuz",NA,NA,NA,NA,Gumuz,NA,Gumuz,35.83,11.5,Greater Abyssinia,Africa
421,yor,Yoruba,Yoruba,"Yoruba, Yoruba",NA,NA,NA,Yoruboid,Benue-Congo,NA,Benue-Congo,4.33,8,African Savannah,Africa
120,kab,Kabyle,Kabyle,"Kabyle, Kabyle",Berber,NA,NA,NA,Berber,NA,Berber,5,36.5,N Africa,Africa
98,hau,Hausa,Hausa,"Hausa, Hausa",Hausa group,NA,West - A (West Chadic),West Chadic,Chadic,NA,Chadic,18,12,African Savannah,Africa
121,kna,Kanakuru,Kanakuru,"Kanakuru, Kanakuru",Bole-Angas group,NA,West - A (West Chadic),West Chadic,Chadic,NA,Chadic,12,10,African Savannah,Africa
373,ttr,Tera,Tera,"Tera, Tera",NA,NA,NA,Biu-Mandara (Central Chadic),Chadic,NA,Chadic,11.83,11,African Savannah,Africa
294,egy,Egyptian (Ancient),Egyptian (Ancient),"Egyptian (Ancient), Egyptian (Ancient)",NA,NA,NA,NA,Egyptian,NA,Egyptian,31,30,N Africa,Africa
15,akk,Akkadian,Akkadian,"Akkadian, Akkadian",NA,NA,Akkadian,East Semitic,Semitic,NA,Semitic,44.37,32.5,Greater Mesopotamia,W and SW Eurasia
23,arb,Arabic,"Arabic, Modern Standard Arabic","Arabic, Arabic, Modern Standard Arabic",Arabic,South-Central Semitic,Central (West Semitic),West Semitic,Semitic,NA,Semitic,31,30,N Africa,Africa
21,amh,Amharic,"Amharic, Ethiopic","Amharic, Amharic, Ethiopic",NA,Ethiopean,Southern (West Semitic),West Semitic,Semitic,NA,Semitic,38,10,Greater Abyssinia,Africa
65,mdx,Dizi,"Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin","Dizi, Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin",NA,NA,NA,NA,Omotic,NA,Omotic,36.5,6.17,Greater Abyssinia,Africa
324,hae,Oromo,"Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu","Oromo, Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu",NA,NA,NA,Eastern Cushitic,Cushitic,NA,Cushitic,38,0,S Africa,Africa
34,bej,Beja,Beja,"Beja, Beja",NA,NA,NA,NA,Beja,NA,Beja,36,18,N Africa,Africa
360,sux,Sumerian,Sumerian,"Sumerian, Sumerian",NA,NA,NA,NA,Sumerian,NA,Sumerian,45,33,Greater Mesopotamia,W and SW Eurasia
73,elx,Elamite,Elamite,"Elamite, Elamite",NA,NA,NA,NA,Elamite,NA,Elamite,51,32,Greater Mesopotamia,W and SW Eurasia
108,xhu,Hurrian,Hurrian,"Hurrian, Hurrian",NA,NA,NA,NA,Hurro-Urartean,NA,Hurro-Urartean,40,37,Greater Mesopotamia,W and SW Eurasia
32,eus,Basque,Basque,"Basque, Basque",NA,NA,NA,NA,Basque,NA,Basque,-3,43,Europe,W and SW Eurasia
100,hit,Hittite,Hittite,"Hittite, Hittite",NA,NA,NA,Anatolian,Indo-European,NA,Indo-European,33,39,Greater Mesopotamia,W and SW Eurasia
301,NA,Tocharian,Tocharian,"Tocharian, Tocharian",NA,NA,NA,Tocharian,Indo-European,NA,Indo-European,83,41,Inner Asia,N-C Asia
79,fra,French (colloquial),French (colloquial),"French (colloquial), French (colloquial)",NA,NA,Italic,Italic-Celtic,Indo-European,NA,Indo-European,2,48,Europe,W and SW Eurasia
25,hye,Armenian (Eastern),Armenian (Eastern),"Armenian (Eastern), Armenian (Eastern)",NA,NA,Armenian,Greek-Armenian,Indo-European,NA,Indo-European,45,40,Greater Mesopotamia,W and SW Eurasia
74,eng,English,English,"English, English",NA,NA,West Germanic,Germanic,Indo-European,NA,Indo-European,0,52,Europe,W and SW Eurasia
340,rus,Russian,Russian,"Russian, Russian",NA,East Slavic,Slavic,Balto-Slavic,Indo-European,NA,Indo-European,38,56,Inner Asia,N-C Asia
396,wbk,Waigali,Waigali,"Waigali, Waigali",NA,NA,Nuristani,Indo-Iranian,Indo-European,NA,Indo-European,71.25,35,Indic,S/SE Asia
325,oss,Ossetic,"Ossetic, Ossete","Ossetic, Ossetic, Ossete",NA,Northeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,44,43,Greater Mesopotamia,W and SW Eurasia
17,als,Albanian,Albanian,"Albanian, Albanian",NA,NA,NA,Albanian,Indo-European,NA,Indo-European,20,41,Europe,W and SW Eurasia
114,inh,Ingush,Ingush,"Ingush, Ingush",NA,NA,Vainakh,Nakh,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",44.77,42.97,Greater Mesopotamia,W and SW Eurasia
413,kjj,Xinalug,Xinalug,"Xinalug, Xinalug",NA,NA,Xinalug,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",48.13,41.18,Greater Mesopotamia,W and SW Eurasia
389,udi,Udi,Udi,"Udi, Udi",NA,Udi,Lezgian,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.27,41.08,Greater Mesopotamia,W and SW Eurasia
162,lez,Lezgi,Lezgi,"Lezgi, Lezgi",Western Samurian,Samurian (core Lezgian),Lezgian,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.83,41.67,Greater Mesopotamia,W and SW Eurasia
145,dar,Dargi (Kubachi),Kubachi; Kubachi Dargi,"Dargi (Kubachi), Kubachi; Kubachi Dargi",NA,NA,Dargic,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.6,42.09,Greater Mesopotamia,W and SW Eurasia
155,lbe,Lak,"Lak , Laki ,  Kazikumukhtsy","Lak, Lak , Laki ,  Kazikumukhtsy",NA,NA,Lak,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.11,42.17,Greater Mesopotamia,W and SW Eurasia
7,abk,Abkhaz,Abkhaz,"Abkhaz, Abkhaz",Abkhaz-Abaza,NA,NA,Abkhazian-Ubykh,West Caucasian,"Northwest Caucasian, Abkhaz-Adyghe","West Caucasian, Northwest Caucasian, Abkhaz-Adyghe",41,43.08,Greater Mesopotamia,W and SW Eurasia
205,yrk,Nenets (Tundra),"Nenets (Tundra), Tundra Nenets , Yurak Samoyed, Tundra Yurak","Nenets (Tundra), Nenets (Tundra), Tundra Nenets , Yurak Samoyed, Tundra Yurak",NA,NA,Northern Samoyedic,Samoyedic,Uralic,NA,Uralic,72,69,Inner Asia,N-C Asia
107,hun,Hungarian,Hungarian,"Hungarian, Hungarian",NA,NA,Ugric,Finno-Ugric,Uralic,NA,Uralic,20,47,Europe,W and SW Eurasia
139,kpv,Komi (Zyrian),"Zyrian, Komi","Komi (Zyrian), Zyrian, Komi",NA,Permian,Finno-Permian,Finno-Ugric,Uralic,NA,Uralic,50,62,Inner Asia,N-C Asia
78,fin,Finnish,Finnish,"Finnish, Finnish",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,NA,Uralic,25,62,Inner Asia,N-C Asia
57,chv,Chuvash,Chuvash,"Chuvash, Chuvash",NA,NA,NA,Bulghar (aka Oghur),Turkic,NA,Turkic,47.5,55.5,Inner Asia,N-C Asia
387,tyv,Tuva,"Tuvan, Tuvin, Tuva","Tuva, Tuvan, Tuvin, Tuva",NA,Siberian,Northern Turkish,Common Turkic,Turkic,NA,Turkic,95,52,Inner Asia,N-C Asia
124,krc,Karachay-Balkar,Karachay-Balkar,"Karachay-Balkar, Karachay-Balkar",NA,NA,Kipchak (Northwest Turkic),Common Turkic,Turkic,NA,Turkic,42,43.5,Greater Mesopotamia,W and SW Eurasia
188,khk,Mongolian (Khalkha),"Mongolian (Khalkha)
Mongolian proper
Khalkha","Mongolian (Khalkha), Mongolian (Khalkha)
Mongolian proper
Khalkha",NA,NA,NA,NA,Mongolic,Mongolian,"Mongolic, Mongolian",105,47,Inner Asia,N-C Asia
201,gld,Nanai,"Nanai , Gold , Goldi , Nanaj, Nanay","Nanai, Nanai , Gold , Goldi , Nanaj, Nanay",NA,NA,Central-Western Tungusic,Central Tungusic,Tungusic,NA,Tungusic,137,49.5,N Coast Asia,N-C Asia
423,ykg,Yukagir (Tundra),"Yukaghir,Yukagir","Yukagir (Tundra), Yukaghir,Yukagir",NA,NA,NA,NA,Yukagir,NA,Yukagir,160,69,N Coast Asia,N-C Asia
129,ket,Ket,Ket,"Ket, Ket",NA,NA,NA,NA,Yeniseian,NA,Yeniseian,87,64,Inner Asia,N-C Asia
12,ain,Ainu,Ainu,"Ainu, Ainu",NA,NA,NA,NA,Ainu,NA,Ainu,143,43,N Coast Asia,N-C Asia
118,jpn,Japanese,Japanese,"Japanese, Japanese",NA,NA,NA,NA,Japanese,NA,Japanese,140,37,N Coast Asia,N-C Asia
141,kor,Korean,Korean,"Korean, Korean",NA,NA,NA,NA,Korean,NA,Korean,128,37.5,N Coast Asia,N-C Asia
56,ckt,Chukchi,Chukchi,"Chukchi, Chukchi",NA,NA,Northern Chukotkan,Chukotkan,Chukchi-Kamchatkan,NA,Chukchi-Kamchatkan,170,67,N Coast Asia,N-C Asia
116,itl,Itelmen,Itelmen,"Itelmen, Itelmen",NA,NA,NA,Kamchatkan,Chukchi-Kamchatkan,NA,Chukchi-Kamchatkan,157.5,57,N Coast Asia,N-C Asia
18,ale,Aleut,Aleut,"Aleut, Aleut",NA,NA,NA,Aleut,Eskimo-Aleut,NA,Eskimo-Aleut,-166,54,N Coast Asia,N-C Asia
203,ynk,Naukan,Naukan,"Naukan, Naukan",Yupik,NA,NA,Eskimoan,Eskimo-Aleut,NA,Eskimo-Aleut,-172,66,N Coast Asia,N-C Asia
40,bsk,Burushaski,Burushaski,"Burushaski, Burushaski",NA,NA,NA,NA,Burushaski,NA,Burushaski,74.5,36.5,Indic,S/SE Asia
197,nlx,Nahali,"Nihali , Nihal ,  Kalto , Nahal , Nahali","Nahali, Nihali , Nihal ,  Kalto , Nahal , Nahali",NA,NA,NA,NA,Nahali,NA,Nahali,77.83,19.75,Indic,S/SE Asia
142,kfe,Kota,Kota,"Kota, Kota",NA,NA,South Dravidian I,South Dravidian,Dravidian,NA,Dravidian,77,11,Indic,S/SE Asia
171,cmn,Mandarin,Mandarin,"Mandarin, Mandarin",NA,NA,Northern Sinitic,Sinitic,Sino-Tibetan,NA,Sino-Tibetan,110,35,Southeast Asia,S/SE Asia
221,mhu,Mishmi,"Digaru, Mishmi, Digaro","Mishmi, Digaru, Mishmi, Digaro",NA,NA,NA,Mishmi,Sino-Tibetan,NA,Sino-Tibetan,96,28.42,Indic,S/SE Asia
223,pmi,Pumi,"Prinmi , Pumi","Pumi, Prinmi , Pumi",NA,NA,NA,Qiangic,Sino-Tibetan,NA,Sino-Tibetan,101,28,Southeast Asia,S/SE Asia
225,lhu,Lahu,Lahu,"Lahu, Lahu",NA,Central Loloish,Loloish,Lolo-Burmese,Sino-Tibetan,NA,Sino-Tibetan,98.17,20,Southeast Asia,S/SE Asia
226,ksw,Karen (Sgaw),Karen (Sgaw),"Karen (Sgaw), Karen (Sgaw)",NA,NA,NA,Karenic,Sino-Tibetan,NA,Sino-Tibetan,97.5,17.5,Southeast Asia,S/SE Asia
228,pcj,Gorum,"Parengi,Gorum","Gorum, Parengi,Gorum",NA,Koraput,Southern Munda,Munda,Austroasiatic,NA,Austroasiatic,82.6,18.8,Indic,S/SE Asia
371,tea,Temiar,Temiar,"Temiar, Temiar",NA,Senoic,Aslian,Southern Mon-Khmer,Austroasiatic,NA,Austroasiatic,101.5,5,Southeast Asia,S/SE Asia
44,caq,Car,Car,"Car, Car",NA,NA,Nicobaric,Southern Mon-Khmer,Austroasiatic,NA,Austroasiatic,93,9,Southeast Asia,S/SE Asia
1,abj; acl; akx; aky; apq; okj; aci; ack; akj; akm,Great Andamanese,Great Andamanese,"Great Andamanese, Great Andamanese",NA,NA,NA,NA,Great Andamanese,NA,Great Andamanese,92.4,12,Southeast Asia,S/SE Asia
2,oon,Onge,"Onge , Önge, Little Andamanese","Onge, Onge , Önge, Little Andamanese",NA,NA,NA,NA,Onge,Little Andamanese,"Onge, Little Andamanese",92.42,10.75,Southeast Asia,S/SE Asia
374,tha,Thai,Thai,"Thai, Thai",NA,NA,NA,NA,Tai-Kadai,NA,Tai-Kadai,101,16,Southeast Asia,S/SE Asia
182,cov,Cao Miao,"Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao","Cao Miao, Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao",NA,NA,NA,NA,Tai-Kadai,NA,Tai-Kadai,107,27,Southeast Asia,S/SE Asia
327,pwn,Paiwan,Paiwan,"Paiwan, Paiwan",NA,NA,NA,Paiwanic,Austronesian,NA,Austronesian,120.83,22.5,Southeast Asia,S/SE Asia
48,cha,Chamorro,Chamorro,"Chamorro, Chamorro",NA,NA,NA,Malayo-Polynesian,Austronesian,NA,Austronesian,144.75,13.45,Oceania,NG and Oceania
362,tgl,Tagalog,Tagalog,"Tagalog, Tagalog",NA,NA,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,NA,Austronesian,121,15,Oceania,S/SE Asia
384,bhq,Tukang Besi,Tukang Besi,"Tukang Besi, Tukang Besi",NA,NA,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,NA,Austronesian,123.5,-5.5,Oceania,NG and Oceania
39,mhs,Buru,Buru,"Buru, Buru",West (Central Maluku),Central Maluku,Central Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,NA,Austronesian,126.5,-3.5,Oceania,NG and Oceania
157,slp,Lamaholot,"Lamaholot; Solor, Solorese","Lamaholot, Lamaholot; Solor, Solorese",Flores-Lembata,Timor,Central Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,NA,Austronesian,122.92,-8.25,Oceania,NG and Oceania
381,ksd,Tolai,"Tolai, Kuanua, Raluana, Tuna","Tolai, Tolai, Kuanua, Raluana, Tuna",Meso-Melanesian linkage,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,152.08,-4.25,N Coast New Guinea,NG and Oceania
70,dhv,Drehu,Drehu,"Drehu, Drehu",Southern Melanesian,Southern Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,167.25,-21,Oceania,NG and Oceania
368,tbo,Tawala,Tawala,"Tawala, Tawala",Papuan Tip,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,150.67,-10.33,S New Guinea,NG and Oceania
334,pon,Ponapean,Ponapean,"Ponapean, Ponapean",NA,Micronesian,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,158.25,6.88,Oceania,NG and Oceania
77,fij,Fijian (Boumaa),Fijian (Boumaa),"Fijian (Boumaa), Fijian (Boumaa)",NA,Central Pacific,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,178,-18,Oceania,NG and Oceania
346,smo,Samoan,Samoan,"Samoan, Samoan",Eastern Fijian-Polynesian linkage,Central Pacific,Oceanic,Malayo-Polynesian,Austronesian,NA,Austronesian,171.83,-13.92,Oceania,NG and Oceania
146,kvd,Kui (Indonesia),"Kui (Indonesia) , Lerabain , Masin-Lak","Kui (Indonesia), Kui (Indonesia) , Lerabain , Masin-Lak",NA,NA,Alor,Alor-Pantar,Timor-Alor-Pantar,West Timor-Alor-Pantar,"Timor-Alor-Pantar, West Timor-Alor-Pantar",124,-8.3,Oceania,NG and Oceania
343,saj,Sahu,Sahu,"Sahu, Sahu",NA,NA,NA,North Halmaheran,West Papuan,NA,West Papuan,127.5,1.17,Oceania,NG and Oceania
364,tpg; swt,Tanglapui,Tanglapui,"Tanglapui, Tanglapui",NA,NA,NA,NA,Tanglapui,NA,Tanglapui,125,-8.2,Oceania,NG and Oceania
62,dmy,Demta,Demta,"Demta, (Demta)",NA,NA,NA,NA,Sentani,NA,Sentani,140.13,-2.33,N Coast New Guinea,NG and Oceania
61,dni,Dani (Lower Grand Valley),Dani (Lower Grand Valley),"Dani (Lower Grand Valley), Dani (Lower Grand Valley)",NA,NA,NA,NA,Dani,NA,Dani,138.83,-4.33,Interior New Guinea,NG and Oceania
415,NA,retire_Yali,Yali,"retire_Yali, Yali",NA,NA,NA,NA,Mek,NA,Mek,139.33,-4.1,Interior New Guinea,NG and Oceania
130,kew,Kewa,Kewa,"Kewa, Kewa",NA,NA,NA,Angal-Kewa,Engan-Kewa,NA,Engan-Kewa,143.83,-6.5,Interior New Guinea,NG and Oceania
410,wiu,Wiru,Wiru,"Wiru, Wiru",NA,NA,NA,NA,Wiru,NA,Wiru,140.16,-6.5,S New Guinea,NG and Oceania
345,sll,Salt-Yui,"Salt-Yui , Salt , Salt-Iui","Salt-Yui, Salt-Yui , Salt , Salt-Iui",NA,NA,NA,Chimbu,Chimbu-Wahgi,NA,Chimbu-Wahgi,145.03,-6.28,Interior New Guinea,NG and Oceania
103,ygr,Hua,"Hua , Huva, Yagaria, Kami-Kulaka, Move, Ologuti, Dagenava, Kamate, Hira, Hua (Huva), Kotom","Hua, Hua , Huva, Yagaria, Kami-Kulaka, Move, Ologuti, Dagenava, Kamate, Hira, Hua (Huva), Kotom",NA,NA,Kamano-Yagaria,Gorokan,Eastern Highlands,NA,Eastern Highlands,145.42,-6.33,Interior New Guinea,NG and Oceania
232,usa,Usarufa,Usarufa,"Usarufa, Usarufa",NA,NA,NA,Kainantu,Eastern Highlands,NA,Eastern Highlands,145.58,-6.42,Interior New Guinea,NG and Oceania
358,sue,Suena,Suena,"Suena, Suena",NA,NA,North Binanderean,Binanderean,Greater Binanderean,NA,Greater Binanderean,147.55,-7.75,S New Guinea,NG and Oceania
31,bbb,Barai,Barai,"Barai, Barai",NA,NA,NA,Baraic,Koiarian,NA,Koiarian,148.19,-9.04,S New Guinea,NG and Oceania
136,kpw,Kobon,Kobon,"Kobon, Kobon",NA,NA,Kalam-Kobon,Kalamic-South Adelbert,Madang,Madang-Adelbert Range,"Madang, Madang-Adelbert Range",144.33,-5.17,Interior New Guinea,NG and Oceania
153,mfw,Mulaha,"Kwalean, Mulaha, Iaibu","Mulaha, Kwalean, Mulaha, Iaibu",NA,NA,NA,NA,Kwalean,NA,Kwalean,147.6,-9.66,S New Guinea,NG and Oceania
126,kmg,Kâte,Kâte,"Kâte, Kâte",NA,NA,Eastern Huon,Huon,Finisterre-Huon,NA,Finisterre-Huon,147.75,-6.5,N Coast New Guinea,NG and Oceania
417,yva,Yawa,Yawa,"Yawa, (Yawa)",Yapen,NA,NA,NA,West Papuan,NA,West Papuan,136.25,-1.75,N Coast New Guinea,NG and Oceania
402,wsa,Warembori,Warembori,"Warembori, Warembori",NA,NA,NA,NA,Lower Mamberamo,Warembori,"Lower Mamberamo, Warembori",137.58,-1.67,N Coast New Guinea,NG and Oceania
366,bzu,Burmeso,"Taurap, Burmeso","Burmeso, Taurap, Burmeso",NA,NA,NA,NA,Taurap,Burmeso,"Taurap, Burmeso",138.06,-2.4,Interior New Guinea,NG and Oceania
33,bvz,Bauzi,Bauzi,"Bauzi, Bauzi",NA,NA,NA,NA,East Cenderawasih Bay,"East Cenderawasih (Bay), East Geelvinck Bay","East Cenderawasih Bay, East Cenderawasih (Bay), East Geelvinck Bay",137.5,-2.5,Interior New Guinea,NG and Oceania
109,tmu,Iau,Iau,"Iau, Iau",NA,NA,NA,Tariku,Lakes Plain,NA,Lakes Plain,137.5,-3.17,Interior New Guinea,NG and Oceania
26,NA,Asmat,Asmat,"Asmat, Asmat",NA,NA,NA,Asmat-Kamoro,Macro-Ok,NA,Macro-Ok,138.4,-6,S New Guinea,NG and Oceania
38,kvg,Boazi,Boazi,"Boazi, Boazi",NA,NA,NA,NA,Marind,NA,Marind,141.33,-7,S New Guinea,NG and Oceania
131,kig,Kimaama,"Kimaama , Kimaghama","Kimaama, Kimaama , Kimaghama",NA,NA,NA,NA,Kolopom,NA,Kolopom,138.5,-8,S New Guinea,NG and Oceania
134,kiw,Kiwai,"Kiwai, Gibaio, Northeast Kiwai","Kiwai, Kiwai, Gibaio, Northeast Kiwai",NA,NA,NA,NA,Kiwaian,NA,Kiwaian,143.5,-8,S New Guinea,NG and Oceania
211,kcd,Ngkalmpw Knwme,"Ngkalmpw Knwme , Kanum","Ngkalmpw Knwme, Ngkalmpw Knwme , Kanum",Kanum,NA,NA,Morehead and Upper Maro Rivers,South Central Papuan,NA,South Central Papuan,140.92,-8.67,S New Guinea,NG and Oceania
330,pwa,Pawaian,Pawaian,"Pawaian, Pawaian",NA,NA,NA,NA,Pawaian,NA,Pawaian,145.08,-7,Interior New Guinea,NG and Oceania
350,set,Sentani,Sentani,"Sentani, Sentani",NA,NA,NA,NA,Sentani,NA,Sentani,140.58,-2.58,N Coast New Guinea,NG and Oceania
212,nir,Nimboran,Nimboran,"Nimboran, Nimboran",NA,NA,NA,NA,Nimboran,NA,Nimboran,140.17,-2.5,N Coast New Guinea,NG and Oceania
190,mrf,Elseng,Morwap,"Elseng, Morwap",NA,NA,NA,NA,Morwap,Elseng,"Morwap, Elseng",140.5,-3,Interior New Guinea,NG and Oceania
395,vam,Vanimo,"Dumo, Vanimo","Vanimo, Dumo, Vanimo",NA,Skou,NA,Skou-Serra-Warapu,Macro-Skou,Sko,"Macro-Skou, Sko",141.3,-2.67,N Coast New Guinea,NG and Oceania
403,wrs,Waris,Waris,"Waris, Waris",NA,NA,NA,Waris,Border,NA,Border,141,-3.17,Interior New Guinea,NG and Oceania
427,yuj,Karkar,"Karkar-Yuri, Karkar","Karkar, Karkar-Yuri, Karkar",NA,NA,NA,NA,Karkar,"Karkar, Karkar-Yuri","Karkar, Karkar, Karkar-Yuri",141.08,-3.75,N Coast New Guinea,NG and Oceania
419,yss,Yessan-Mayo,Yessan-Mayo,"Yessan-Mayo, Yessan-Mayo",NA,NA,NA,Tama Sepik,Sepik,NA,Sepik,142.6,-4,N Coast New Guinea,NG and Oceania
307,ksi,Krisa,Krisa,"Krisa, Krisa",NA,NA,NA,Krisa,Macro-Skou,Sko,"Macro-Skou, Sko",141.28,-2.83,N Coast New Guinea,NG and Oceania
24,aon,Arapesh,"Arapesh, Arapesh Bumbita","Arapesh, Arapesh, Arapesh Bumbita",NA,NA,Arapesh,Kombio,Torricelli,NA,Torricelli,143.17,-3.47,N Coast New Guinea,NG and Oceania
322,opm,Oksapmin,Oksapmin,"Oksapmin, Oksapmin",NA,NA,NA,Oksapmin,Macro-Ok,NA,Macro-Ok,142.17,-5.17,Interior New Guinea,NG and Oceania
14,amp,Alamblak,Alamblak,"Alamblak, Alamblak",NA,NA,NA,Sepik Hill,Sepik,NA,Sepik,143.33,-4.67,N Coast New Guinea,NG and Oceania
420,yee,Yimas,Yimas,"Yimas, Yimas",NA,NA,Yimas-Karawari,Lower Sepik,Lower Sepik - Ramu,NA,Lower Sepik - Ramu,143.55,-4.67,N Coast New Guinea,NG and Oceania
83,gpn,Gapun,Gapun,"Gapun, Gapun",NA,NA,NA,NA,Gapun,NA,Gapun,144.5,-4.08,N Coast New Guinea,NG and Oceania
28,kmn,Awtuw,Awtuw,"Awtuw, Awtuw",NA,NA,NA,Ram,Sepik,NA,Sepik,142,-3.58,N Coast New Guinea,NG and Oceania
369,kps,Tehit,Tehit,"Tehit, Tehit",NA,NA,NA,South Bird’s Head,West Papuan,NA,West Papuan,132,-1.5,N Coast New Guinea,NG and Oceania
